Geneid	Chr	Start	End	Strand	Length	CRISPR_one	CRISPR_three	CRISPR_two	control_one	control_three	control_two
WBP1LP7	.	.	.	.	.	0	0	0	0	0	0
OR4F29	.	.	.	.	.	0	0	0	0	0	0
ENSG00000237094	.	.	.	.	.	0	0	0	0	0	0
CICP7	.	.	.	.	.	0	0	0	0	0	0
ENSG00000250575	.	.	.	.	.	0	0	0	0	0	0
U6	.	.	.	.	.	2	1	1	2	3	4
ENSG00000293331	.	.	.	.	.	0	1	0	0	1	0
LINC00115	.	.	.	.	.	31	28	17	16	42	33
ENSG00000235146	.	.	.	.	.	0	0	0	0	0	0
MTND1P23	.	.	.	.	.	0	1	0	0	0	0
MTND2P28	.	.	.	.	.	56	79	80	45	50	102
MTCO1P12	.	.	.	.	.	11	18	11	8	7	22
ENSG00000278791	.	.	.	.	.	0	0	0	0	0	0
MTCO2P12	.	.	.	.	.	0	0	0	0	0	0
MTATP8P1	.	.	.	.	.	0	0	0	0	0	0
MTATP6P1	.	.	.	.	.	17	27	27	16	23	40
MTCO3P12	.	.	.	.	.	0	0	0	0	0	0
WBP1LP6	.	.	.	.	.	0	0	0	0	0	0
OR4F16	.	.	.	.	.	0	0	0	0	0	0
ENSG00000230021	.	.	.	.	.	0	0	0	0	0	0
CICP3	.	.	.	.	.	0	0	0	0	0	0
RNU6-1199P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000229905	.	.	.	.	.	0	0	0	0	0	0
ENSG00000228327	.	.	.	.	.	0	0	0	0	0	0
LINC01409	.	.	.	.	.	14	10	7	6	11	8
ENSG00000285268	.	.	.	.	.	0	0	0	0	0	0
ENSG00000230092	.	.	.	.	.	0	0	0	0	0	0
FAM87B	.	.	.	.	.	6	2	7	2	6	7
LINC01128	.	.	.	.	.	197	345	273	221	282	219
ENSG00000297178	.	.	.	.	.	0	0	2	0	2	0
ENSG00000297224	.	.	.	.	.	0	0	0	0	0	0
FAM41C	.	.	.	.	.	0	0	0	0	0	0
TUBB8P11	.	.	.	.	.	0	0	0	0	0	0
ENSG00000283040	.	.	.	.	.	0	0	0	0	0	0
ENSG00000296088	.	.	.	.	.	0	0	0	0	0	0
ENSG00000272438	.	.	.	.	.	25	11	9	7	10	8
ENSG00000298603	.	.	.	.	.	0	0	0	0	0	0
LINC02593	.	.	.	.	.	124	20	50	135	193	102
SAMD11	.	.	.	.	.	533	77	77	374	445	289
NOC2L	.	.	.	.	.	942	1385	1121	778	1442	1179
KLHL17	.	.	.	.	.	98	118	82	117	121	104
PLEKHN1	.	.	.	.	.	63	50	40	44	67	62
PERM1	.	.	.	.	.	4	0	0	0	0	4
ENSG00000303599	.	.	.	.	.	0	0	0	0	0	0
ENSG00000272512	.	.	.	.	.	1	5	1	0	0	0
HES4	.	.	.	.	.	54	58	42	28	6	34
ENSG00000303623	.	.	.	.	.	2	3	0	0	0	1
ISG15	.	.	.	.	.	1528	1572	550	128	124	163
ENSG00000303614	.	.	.	.	.	0	0	0	0	0	0
ENSG00000231702	.	.	.	.	.	0	0	0	0	0	0
ENSG00000224969	.	.	.	.	.	0	0	2	0	1	1
AGRN	.	.	.	.	.	3643	2663	3040	6677	5983	7846
ENSG00000242590	.	.	.	.	.	0	0	0	0	0	0
ENSG00000291156	.	.	.	.	.	30	37	31	33	29	40
ENSG00000273443	.	.	.	.	.	3	6	0	0	2	10
PTPN11BP	.	.	.	.	.	0	0	0	0	1	2
ENSG00000304119	.	.	.	.	.	3	3	0	6	0	2
ENSG00000304169	.	.	.	.	.	0	0	0	0	0	0
RNF223	.	.	.	.	.	0	0	0	0	0	0
C1orf159	.	.	.	.	.	99	163	140	129	119	159
ENSG00000285812	.	.	.	.	.	3	1	2	0	3	1
ENSG00000299943	.	.	.	.	.	0	0	0	0	0	0
LINC01342	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304965	.	.	.	.	.	0	0	0	0	0	2
MIR200B	.	.	.	.	.	0	0	0	0	0	0
MIR200A	.	.	.	.	.	0	0	0	0	0	0
MIR429	.	.	.	.	.	0	0	0	0	0	0
ENSG00000272141	.	.	.	.	.	0	0	0	0	0	0
TTLL10-AS1	.	.	.	.	.	0	0	0	0	0	0
TTLL10	.	.	.	.	.	0	0	0	0	0	0
TNFRSF18	.	.	.	.	.	4	0	2	18	14	8
TNFRSF4	.	.	.	.	.	0	1	0	0	0	0
SDF4	.	.	.	.	.	2148	1889	2011	3069	3864	2803
B3GALT6	.	.	.	.	.	265	378	569	308	397	514
C1QTNF12	.	.	.	.	.	2	2	1	2	0	2
ENSG00000260179	.	.	.	.	.	0	0	3	0	1	0
UBE2J2	.	.	.	.	.	674	837	758	586	738	874
LINC01786	.	.	.	.	.	4	8	6	6	4	3
SCNN1D	.	.	.	.	.	20	12	10	5	19	28
ACAP3	.	.	.	.	.	290	262	260	296	394	386
MIR6726	.	.	.	.	.	0	0	0	0	0	0
PUSL1	.	.	.	.	.	75	129	103	121	135	208
INTS11	.	.	.	.	.	429	573	594	523	721	742
MIR6727	.	.	.	.	.	0	0	0	0	0	0
ENSG00000240731	.	.	.	.	.	11	10	10	8	8	25
CPTP	.	.	.	.	.	283	320	377	262	424	418
TAS1R3	.	.	.	.	.	9	16	6	8	11	22
DVL1	.	.	.	.	.	316	480	497	393	608	718
MIR6808	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304860	.	.	.	.	.	0	2	0	0	0	4
MXRA8	.	.	.	.	.	433	279	331	2666	3597	2001
AURKAIP1	.	.	.	.	.	545	698	678	707	791	822
NDUFB4P8	.	.	.	.	.	1	0	0	0	0	0
CCNL2	.	.	.	.	.	318	416	334	448	645	638
MRPL20-AS1	.	.	.	.	.	107	89	120	103	177	129
MRPL20	.	.	.	.	.	265	299	266	237	380	335
RN7SL657P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301639	.	.	.	.	.	4	7	5	2	8	5
MRPL20-DT	.	.	.	.	.	11	12	10	8	12	8
ANKRD65	.	.	.	.	.	0	4	0	0	0	0
ANKRD65-AS1	.	.	.	.	.	0	0	0	0	0	0
TMEM88B	.	.	.	.	.	0	0	0	0	0	0
LINC01770	.	.	.	.	.	0	0	1	2	2	2
VWA1	.	.	.	.	.	20	32	38	181	307	256
ATAD3C	.	.	.	.	.	0	0	2	0	1	0
ATAD3B	.	.	.	.	.	127	180	155	77	61	134
ENSG00000290916	.	.	.	.	.	2	1	0	3	1	0
ENSG00000284740	.	.	.	.	.	0	0	0	0	0	0
ATAD3A	.	.	.	.	.	263	406	357	239	304	352
TMEM240	.	.	.	.	.	12	6	6	8	22	16
ENSG00000299413	.	.	.	.	.	1	0	0	0	0	0
SSU72	.	.	.	.	.	862	1261	1355	927	1259	1301
SSU72-AS1	.	.	.	.	.	6	16	18	13	16	11
ENSG00000274481	.	.	.	.	.	0	0	0	0	0	0
FNDC10	.	.	.	.	.	7	4	8	21	16	33
ENSG00000286989	.	.	.	.	.	0	1	0	0	0	0
ENSG00000272106	.	.	.	.	.	34	26	41	42	39	40
MIB2	.	.	.	.	.	332	317	348	281	376	392
MMP23B	.	.	.	.	.	0	0	0	0	0	1
CDK11B	.	.	.	.	.	182	128	102	103	146	112
ENSG00000272004	.	.	.	.	.	0	1	2	0	0	0
SLC35E2B	.	.	.	.	.	483	518	645	635	960	652
ENSG00000293187	.	.	.	.	.	29	16	15	8	30	15
ENSG00000269737	.	.	.	.	.	7	3	14	22	12	10
ENSG00000310190	.	.	.	.	.	0	0	0	1	0	0
ENSG00000310238	.	.	.	.	.	0	0	0	0	0	0
MMP23A	.	.	.	.	.	0	0	0	0	0	0
CDK11A	.	.	.	.	.	4	12	7	9	4	8
ENSG00000268575	.	.	.	.	.	27	21	23	34	20	18
ENSG00000293188	.	.	.	.	.	44	44	75	112	148	58
ENSG00000290854	.	.	.	.	.	11	13	11	17	18	11
SLC35E2A	.	.	.	.	.	0	0	0	0	0	0
ENSG00000227775	.	.	.	.	.	0	0	0	0	0	0
NADK	.	.	.	.	.	417	409	458	813	862	791
ENSG00000302550	.	.	.	.	.	2	1	0	0	1	5
GNB1	.	.	.	.	.	4211	3949	4286	4059	5413	5339
GNB1-DT	.	.	.	.	.	0	0	0	0	2	3
ENSG00000303984	.	.	.	.	.	0	0	0	1	0	0
ENSG00000294910	.	.	.	.	.	1	0	0	0	0	1
ENSG00000306476	.	.	.	.	.	0	0	0	0	0	0
CALML6	.	.	.	.	.	0	0	0	0	0	0
TMEM52	.	.	.	.	.	0	0	0	0	0	0
CFAP74	.	.	.	.	.	0	0	0	0	1	0
ENSG00000233542	.	.	.	.	.	0	2	0	0	0	0
GABRD	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304958	.	.	.	.	.	0	0	0	0	0	0
PRKCZ-DT	.	.	.	.	.	0	0	0	0	0	0
PRKCZ	.	.	.	.	.	0	4	4	6	6	6
ENSG00000308181	.	.	.	.	.	0	0	0	0	0	0
ENSG00000271806	.	.	.	.	.	0	0	0	0	0	0
PRKCZ-AS1	.	.	.	.	.	1	3	4	2	11	11
FAAP20	.	.	.	.	.	223	210	252	234	330	412
ENSG00000304038	.	.	.	.	.	0	0	0	0	0	0
ENSG00000234396	.	.	.	.	.	0	0	0	0	0	0
ENSG00000304143	.	.	.	.	.	0	0	0	0	0	1
SKI	.	.	.	.	.	1057	875	1385	1239	1456	1515
ENSG00000295493	.	.	.	.	.	0	0	0	0	1	0
ENSG00000287356	.	.	.	.	.	1	1	0	2	10	2
MORN1	.	.	.	.	.	52	61	63	56	96	68
ENSG00000272161	.	.	.	.	.	0	0	0	0	0	0
ENSG00000292993	.	.	.	.	.	9	4	12	2	8	11
ENSG00000269896	.	.	.	.	.	0	0	0	0	0	0
ENSG00000272420	.	.	.	.	.	3	1	0	6	19	0
ENSG00000295371	.	.	.	.	.	0	0	0	0	0	0
RER1	.	.	.	.	.	1345	1682	1383	1492	1939	1980
PEX10	.	.	.	.	.	125	202	117	146	180	211
PLCH2	.	.	.	.	.	2	2	0	0	0	0
ENSG00000224387	.	.	.	.	.	0	0	0	0	0	0
ENSG00000229393	.	.	.	.	.	0	0	0	0	0	0
PANK4	.	.	.	.	.	221	193	135	177	212	226
HES5	.	.	.	.	.	0	2	0	0	0	0
ENSG00000272449	.	.	.	.	.	0	0	0	0	0	0
TNFRSF14-AS1	.	.	.	.	.	1	0	0	1	1	0
ENSG00000307979	.	.	.	.	.	0	0	0	0	0	0
TNFRSF14	.	.	.	.	.	39	32	8	73	39	36
ENSG00000225931	.	.	.	.	.	0	0	0	0	0	1
ENSG00000307958	.	.	.	.	.	0	0	0	0	0	0
ENSG00000228037	.	.	.	.	.	2	1	0	0	0	4
ENSG00000289610	.	.	.	.	.	0	0	1	0	0	0
PRXL2B	.	.	.	.	.	79	75	58	59	39	57
MMEL1	.	.	.	.	.	0	0	0	0	0	0
MMEL1-AS1	.	.	.	.	.	2	0	2	0	0	0
TTC34	.	.	.	.	.	5	7	0	4	4	11
ENSG00000285945	.	.	.	.	.	0	0	0	0	0	0
ENSG00000283259	.	.	.	.	.	0	0	0	0	0	0
ENSG00000233234	.	.	.	.	.	0	0	0	0	0	0
ENSG00000287396	.	.	.	.	.	0	6	0	0	0	0
ENSG00000231630	.	.	.	.	.	0	0	0	0	0	0
ENSG00000302855	.	.	.	.	.	0	0	0	0	0	0
ENSG00000295089	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300015	.	.	.	.	.	0	0	0	0	0	0
ENSG00000284745	.	.	.	.	.	0	0	0	0	0	0
ACTRT2	.	.	.	.	.	0	0	0	0	0	0
PRDM16-DT	.	.	.	.	.	0	0	0	0	0	0
PRDM16	.	.	.	.	.	0	0	0	0	0	0
MIR4251	.	.	.	.	.	0	0	0	0	0	0
ENSG00000226286	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306427	.	.	.	.	.	0	0	0	0	0	0
ENSG00000279839	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306439	.	.	.	.	.	0	0	0	0	0	0
ENSG00000272235	.	.	.	.	.	0	0	0	0	0	0
ENSG00000287828	.	.	.	.	.	0	6	4	2	0	0
ENSG00000286518	.	.	.	.	.	0	0	0	0	0	0
ENSG00000295754	.	.	.	.	.	0	0	0	0	0	0
ENSG00000297626	.	.	.	.	.	0	0	0	0	0	0
ARHGEF16	.	.	.	.	.	8	11	17	15	10	3
ENSG00000272088	.	.	.	.	.	0	0	0	1	0	1
MEGF6	.	.	.	.	.	258	459	490	570	835	1533
MIR551A	.	.	.	.	.	0	0	0	0	0	0
ENSG00000309127	.	.	.	.	.	0	0	0	0	0	0
ENSG00000238260	.	.	.	.	.	0	0	0	0	0	0
TPRG1L	.	.	.	.	.	417	763	872	676	733	723
WRAP73	.	.	.	.	.	129	146	154	100	136	179
TP73	.	.	.	.	.	42	16	38	9	6	33
TP73-AS3	.	.	.	.	.	0	0	0	0	0	0
TP73-AS2	.	.	.	.	.	0	0	0	0	0	0
GFOD3P	.	.	.	.	.	412	414	348	362	471	418
ENSG00000276189	.	.	.	.	.	0	0	0	0	0	0
CCDC27	.	.	.	.	.	0	0	0	0	0	0
ENSG00000296834	.	.	.	.	.	0	0	0	0	0	0
SMIM1	.	.	.	.	.	0	0	0	0	2	0
LRRC47	.	.	.	.	.	659	924	805	518	832	764
RN7SL574P	.	.	.	.	.	1	2	0	0	1	0
ENSG00000272153	.	.	.	.	.	5	4	9	2	2	7
CEP104	.	.	.	.	.	583	735	818	590	790	793
DFFB	.	.	.	.	.	53	49	73	52	90	70
C1orf174	.	.	.	.	.	183	271	255	315	318	387
LINC01134	.	.	.	.	.	20	20	38	6	9	6
LINC01346	.	.	.	.	.	0	0	0	0	0	0
LINC01345	.	.	.	.	.	0	0	0	0	0	0
LINC02780	.	.	.	.	.	1	2	4	0	0	0
ENSG00000284703	.	.	.	.	.	1	0	0	2	0	0
ENSG00000296871	.	.	.	.	.	0	0	0	0	0	0
ENSG00000308587	.	.	.	.	.	0	0	0	0	0	0
EEF1DP6	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301255	.	.	.	.	.	0	0	0	0	0	0
ENSG00000299169	.	.	.	.	.	0	0	0	0	0	0
ENSG00000302287	.	.	.	.	.	0	0	0	0	0	0
LINC01777	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306535	.	.	.	.	.	0	0	0	0	0	0
ENSG00000284694	.	.	.	.	.	0	0	0	0	0	0
ENSG00000299517	.	.	.	.	.	0	0	0	0	0	0
ENSG00000227169	.	.	.	.	.	0	0	0	0	0	0
ENSG00000295490	.	.	.	.	.	0	0	0	0	0	0
LINC01646	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300565	.	.	.	.	.	0	0	0	0	0	0
ENSG00000303830	.	.	.	.	.	0	0	0	0	0	0
AJAP1	.	.	.	.	.	0	0	10	0	0	0
ENSG00000287586	.	.	.	.	.	0	0	0	0	0	0
ENSG00000284739	.	.	.	.	.	0	0	0	0	0	0
LINC02781	.	.	.	.	.	0	0	0	0	0	0
ENSG00000309102	.	.	.	.	.	0	0	0	0	0	0
ENSG00000309111	.	.	.	.	.	0	0	0	0	0	0
LINC02782	.	.	.	.	.	0	0	0	0	0	0
ENSG00000296716	.	.	.	.	.	0	0	0	0	0	0
ENSG00000302269	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306645	.	.	.	.	.	0	0	0	0	0	0
ENSG00000284616	.	.	.	.	.	0	0	0	0	0	0
ENSG00000302445	.	.	.	.	.	0	0	0	0	0	0
ENSG00000302452	.	.	.	.	.	0	0	0	0	0	0
ENSG00000295735	.	.	.	.	.	0	0	0	0	0	0
ENSG00000284692	.	.	.	.	.	0	0	0	0	0	0
ENSG00000284666	.	.	.	.	.	0	0	0	0	0	0
ENSG00000260972	.	.	.	.	.	0	0	0	0	0	0
ENSG00000299325	.	.	.	.	.	0	0	0	0	0	0
ENSG00000283356	.	.	.	.	.	0	0	0	0	0	0
ENSG00000289893	.	.	.	.	.	0	0	0	0	0	0
ENSG00000264341	.	.	.	.	.	0	0	0	0	0	0
ENSG00000295108	.	.	.	.	.	0	0	0	0	0	0
ENSG00000295122	.	.	.	.	.	0	0	0	0	0	0
ENSG00000298180	.	.	.	.	.	0	0	0	0	0	0
MIR4689	.	.	.	.	.	0	0	0	0	0	0
NPHP4	.	.	.	.	.	144	146	179	231	359	243
ENSG00000299539	.	.	.	.	.	0	0	0	0	0	0
KCNAB2	.	.	.	.	.	98	290	308	797	963	692
CHD5	.	.	.	.	.	2	5	35	0	0	4
ENSG00000285629	.	.	.	.	.	0	0	0	0	0	0
RPL22	.	.	.	.	.	914	924	996	1080	1506	1209
RNF207-AS1	.	.	.	.	.	2	0	1	0	0	2
RNF207	.	.	.	.	.	32	53	35	35	44	96
ICMT	.	.	.	.	.	2234	2300	2319	1860	2136	2346
ICMT-DT	.	.	.	.	.	0	0	2	0	0	0
HES3	.	.	.	.	.	0	0	0	0	0	0
GPR153	.	.	.	.	.	19	22	51	82	73	71
ACOT7	.	.	.	.	.	1202	855	1248	1217	1623	1345
ENSG00000271746	.	.	.	.	.	0	2	4	0	5	2
HES2	.	.	.	.	.	0	2	4	0	0	0
ESPN	.	.	.	.	.	1	3	0	0	0	0
MIR4252	.	.	.	.	.	0	0	0	0	0	0
ENSG00000231868	.	.	.	.	.	1	0	0	0	0	0
TNFRSF25	.	.	.	.	.	14	19	15	12	35	27
PLEKHG5	.	.	.	.	.	46	71	108	118	142	181
ENSG00000297749	.	.	.	.	.	0	0	0	1	0	0
ENSG00000299237	.	.	.	.	.	2	0	2	0	0	0
ENSG00000299253	.	.	.	.	.	1	0	0	0	0	1
NOL9	.	.	.	.	.	807	1050	878	795	1249	836
RNU6-731P	.	.	.	.	.	0	0	0	0	0	1
ENSG00000229519	.	.	.	.	.	2	3	4	3	2	2
TAS1R1	.	.	.	.	.	2	3	0	2	2	2
ZBTB48	.	.	.	.	.	105	103	69	71	133	75
KLHL21	.	.	.	.	.	519	1218	706	517	624	629
ENSG00000295286	.	.	.	.	.	1	6	2	1	0	2
ENSG00000304810	.	.	.	.	.	0	0	2	0	0	0
PHF13	.	.	.	.	.	390	302	456	608	608	575
THAP3	.	.	.	.	.	77	97	92	96	91	131
DNAJC11	.	.	.	.	.	442	496	392	331	577	404
LINC01672	.	.	.	.	.	0	0	0	0	0	0
ENSG00000284744	.	.	.	.	.	0	0	0	0	0	0
CAMTA1-DT	.	.	.	.	.	5	1	7	2	2	1
CAMTA1	.	.	.	.	.	324	304	311	496	611	487
ENSG00000227950	.	.	.	.	.	0	3	0	0	0	0
CAMTA1-AS3	.	.	.	.	.	0	0	0	0	0	0
RNU1-8P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000310450	.	.	.	.	.	0	0	0	0	0	0
CAMTA1-IT1	.	.	.	.	.	1	0	0	0	0	0
CAMTA1-AS2	.	.	.	.	.	0	0	0	0	0	0
ENSG00000294314	.	.	.	.	.	0	0	0	0	0	0
CAMTA1-AS1	.	.	.	.	.	0	0	0	0	0	0
ENSG00000298973	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306883	.	.	.	.	.	4	0	0	0	0	0
ENSG00000302704	.	.	.	.	.	0	0	0	0	0	0
ENSG00000270171	.	.	.	.	.	0	0	0	0	0	0
ENSG00000270035	.	.	.	.	.	0	0	0	0	0	0
ENSG00000269978	.	.	.	.	.	0	0	0	0	0	0
ENSG00000300603	.	.	.	.	.	0	0	0	0	0	0
VAMP3	.	.	.	.	.	2169	2175	2336	2106	2698	2998
ENSG00000269925	.	.	.	.	.	11	10	9	6	8	9
PER3	.	.	.	.	.	163	141	122	295	373	284
ENSG00000236266	.	.	.	.	.	2	1	0	2	5	0
UTS2	.	.	.	.	.	0	0	0	0	0	0
ENSG00000302605	.	.	.	.	.	0	1	0	0	0	0
TNFRSF9	.	.	.	.	.	76	236	48	94	49	134
ENSG00000270330	.	.	.	.	.	0	0	0	0	0	0
PARK7	.	.	.	.	.	2103	1893	2233	2312	3146	3041
ENSG00000299004	.	.	.	.	.	1	0	0	0	2	2
Y_RNA	.	.	.	.	.	121	149	124	82	91	97
ENSG00000284747	.	.	.	.	.	6	16	4	1	11	2
ENSG00000284716	.	.	.	.	.	0	1	1	0	0	0
ERRFI1	.	.	.	.	.	1529	1381	1029	2109	2290	1345
ERRFI1-DT	.	.	.	.	.	5	2	2	2	4	7
RPL7AP18	.	.	.	.	.	1	0	0	1	0	0
ENSG00000301325	.	.	.	.	.	0	0	1	1	0	0
LINC01714	.	.	.	.	.	0	0	0	2	0	2
ENSG00000229305	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301344	.	.	.	.	.	0	0	0	0	0	0
RNU1-7P	.	.	.	.	.	0	0	0	0	0	0
ENSG00000233645	.	.	.	.	.	0	0	0	0	0	0
ENSG00000298156	.	.	.	.	.	0	0	0	0	2	0
ENSG00000301025	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301006	.	.	.	.	.	1	0	0	0	0	0
RNU6-991P	.	.	.	.	.	0	0	0	0	0	0
SLC45A1	.	.	.	.	.	49	27	36	20	18	12
RERE	.	.	.	.	.	1410	1107	1227	762	1313	1127
RERE-AS1	.	.	.	.	.	5	1	1	0	3	3
ENSG00000221083	.	.	.	.	.	0	0	0	0	0	0
ENSG00000270282	.	.	.	.	.	1	0	0	0	0	0
RPL7P11	.	.	.	.	.	0	0	1	0	0	0
RPL7P7	.	.	.	.	.	1	0	0	2	2	0
ENSG00000303676	.	.	.	.	.	0	1	1	1	2	0
ENSG00000226545	.	.	.	.	.	1	0	1	0	0	0
ENSG00000228423	.	.	.	.	.	3	0	0	0	0	2
RPL23AP19	.	.	.	.	.	0	0	0	0	0	0
ENO1	.	.	.	.	.	17660	20013	16026	14379	21822	23413
MIR6728	.	.	.	.	.	0	0	0	0	0	0
ENO1-AS1	.	.	.	.	.	4	1	1	2	0	3
RNU6-304P	.	.	.	.	.	0	0	0	0	1	0
HMGN2P17	.	.	.	.	.	0	0	0	0	0	0
ENSG00000310107	.	.	.	.	.	7	9	15	8	21	19
ENSG00000232208	.	.	.	.	.	0	0	0	0	0	0
ENSG00000232663	.	.	.	.	.	0	0	0	0	0	0
ENSG00000310124	.	.	.	.	.	0	0	0	0	0	0
CA6	.	.	.	.	.	0	0	0	0	0	0
ENSG00000290109	.	.	.	.	.	0	0	0	0	0	0
RN7SL451P	.	.	.	.	.	0	0	0	0	0	0
SLC2A7	.	.	.	.	.	0	0	0	0	0	0
SLC2A5	.	.	.	.	.	2	2	2	4	4	2
ENSG00000252404	.	.	.	.	.	0	0	0	0	0	0
GPR157	.	.	.	.	.	70	46	52	70	68	95
MIR34AHG	.	.	.	.	.	0	4	1	0	2	1
MIR34A	.	.	.	.	.	0	0	0	0	0	0
ENSG00000289914	.	.	.	.	.	0	0	0	0	0	0
ENSG00000302015	.	.	.	.	.	0	0	0	2	0	0
LNCTAM34A	.	.	.	.	.	1	0	0	0	4	1
ENSG00000301983	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301968	.	.	.	.	.	0	2	0	0	2	0
H6PD	.	.	.	.	.	732	525	933	1571	1627	1588
ENSG00000302217	.	.	.	.	.	1	4	5	0	1	5
SPSB1	.	.	.	.	.	230	312	261	343	326	405
ENSG00000294252	.	.	.	.	.	0	3	1	1	0	0
ENSG00000296073	.	.	.	.	.	1	0	1	0	1	0
ENSG00000296056	.	.	.	.	.	1	0	0	0	0	0
ENSG00000307568	.	.	.	.	.	0	0	0	0	0	0
ENSG00000284652	.	.	.	.	.	0	0	0	2	6	3
LINC02606	.	.	.	.	.	16	8	10	18	22	21
RNA5SP40	.	.	.	.	.	0	0	0	0	0	0
ENSG00000301013	.	.	.	.	.	0	0	0	1	0	0
ENSG00000301030	.	.	.	.	.	0	0	0	0	0	0
ENSG00000306844	.	.	.	.	.	0	0	0	0	0	0
ENSG00000296249	.	.	.	.	.	0	0	0	0	0	0
ENSG00000235263	.	.	.	.	.	0	0	0	0	0	0
SLC25A33	.	.	.	.	.	112	294	270	240	234	282
ENSG00000231181	.	.	.	.	.	2	8	3	1	6	0
TMEM201	.	.	.	.	.	293	420	450	257	282	357
ENSG00000307011	.	.	.	.	.	0	0	0	0	0	0
PIK3CD	.	.	.	.	.	552	439	406	403	576	545
PIK3CD-AS1	.	.	.	.	.	0	0	0	0	0	0
ENSG00000233268	.	.	.	.	.	0	0	0	1	0	0
ENSG00000301080	.	.	.	.	.	0	0	0	0	0	0
PIK3CD-AS2	.	.	.	.	.	7	2	4	7	12	9
CLSTN1	.	.	.	.	.	2045	2056	2592	3374	4297	3618
MZT1P1	.	.	.	.	.	0	0	1	0	0	0
ENSG00000280113	.	.	.	.	.	0	2	0	0	0	0
CTNNBIP1	.	.	.	.	.	161	117	156	214	203	296
CTNNBIP1-AS1	.	.	.	.	.	0	0	0	0	0	0
ENSG00000285701	.	.	.	.	.	6	0	1	0	3	4
ENSG00000228150	.	.	.	.	.	3	2	0	1	2	4
LZIC	.	.	.	.	.	406	471	432	398	609	507
NMNAT1	.	.	.	.	.	121	156	132	163	226	185
RN7SKP269	.	.	.	.	.	0	0	0	0	0	0
TMEM274P	.	.	.	.	.	1	0	0	5	2	2
MIR5697	.	.	.	.	.	1	0	0	1	0	0
ENSG00000241326	.	.	.	.	.	0	0	0	0	0	0
RBP7	.	.	.	.	.	6	0	2	0	2	10
UBE4B	.	.	.	.	.	908	985	1151	1319	2069	1523
RPL21P21	.	.	.	.	.	0	0	0	0	2	0
PGAM1P11	.	.	.	.	.	0	0	2	2	3	0
